,method_key,dataset_key,compression_kwargs,balancing_kwargs,seed,time1,status,checksum,bias
38,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",38,1.2447996139526367,Done,514.2598685480507,9.984239472691335
39,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",39,1.1183116436004639,Done,546.6924395471768,13.160612645550557
40,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",40,1.0790956020355225,Done,526.5948502709085,4.881864441603973
41,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",41,1.304936408996582,Done,523.6622210637858,2.8886518834485813
42,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",42,1.5614707469940186,Done,534.2164557072026,0.17127332053124178
43,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",43,1.36881685256958,Done,541.0005087604198,7.05073754115314
44,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",44,1.6390047073364258,Done,542.484559803416,14.554459313713359
45,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",45,1.548647165298462,Done,564.3581568592143,5.094891971449954
46,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",46,1.6836941242218018,Done,562.2773478552928,24.351704827804433
47,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",47,1.3596372604370117,Done,538.5627960013469,12.66664358892261
48,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",48,1.2886815071105957,Done,567.3499539934564,62.39079989404839
49,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",49,1.5525949001312256,Done,541.1364569130644,1.2726868383343017
50,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",50,1.3646342754364014,Done,531.3946126894904,12.280024955817716
51,"PS+KB (linear, lmb0.0001) (GradientBoostingClassifier, logitsFalse)",TBI,"{'model': 'GradientBoostingClassifier', 'logits': False}","{'kernel': 'linear', 'lmb': 0.0001}",51,1.3018097877502441,Done,520.4651060643486,3.4636592105924393
